year,country,iso_code,fossil_twh,renewables_twh,total_twh,fossil_pct,renew_pct
1965,Algeria,DZA,23.65,1.183,24.833,95.24,4.76
1965,Argentina,ARG,324.905,3.623,328.52799999999996,98.9,1.1
1965,Australia,AUS,402.077,23.683,425.76,94.44,5.56
1965,Austria,AUT,141.941,47.557,189.498,74.9,25.1
1965,Belgium,BEL,412.137,0.804,412.941,99.81,0.19
1965,Brazil,BRA,198.422,75.448,273.87,72.45,27.55
1965,Bulgaria,BGR,114.012,5.914,119.926,95.07,4.93
1965,Canada,CAN,1039.488,349.185,1388.673,74.85,25.15
1965,Chile,CHL,60.741,11.692,72.432999999999993,83.86,16.14
1965,China,CHN,1470.854,65.341,1536.195,95.75,4.25
1965,Colombia,COL,87.194,10.479,97.673,89.27,10.73
1965,Czechia,CZE,462.179,6.599,468.77799999999996,98.59,1.41
1965,Egypt,EGY,86.552,5.123,91.675000000000011,94.41,5.59
1965,France,FRA,1168.484,138.627,1307.1109999999999,89.39,10.61
1965,Germany,DEU,2921.022,47.939,2968.961,98.39,1.61
1965,Hungary,HUN,184.754,0.222,184.976,99.88,0.12
1965,India,IND,562.775,56.676,619.451,90.85,9.15
1965,Indonesia,IDN,79.119,5.397,84.516,93.61,6.39
1965,Iran,IRN,92.207,5.083,97.289999999999992,94.78,5.22
1965,Italy,ITA,784.806,133.697,918.503,85.44,14.56
1965,Japan,JPN,1598.555,224.938,1823.493,87.66,12.34
1965,Luxembourg,LUX,41.549,0.256,41.805,99.39,0.61
1965,Mexico,MEX,267.117,26.208,293.32500000000005,91.07,8.93
1965,Morocco,MAR,14.174,3.587,17.761,79.8,20.2
1965,Netherlands,NLD,413.96,0.0,413.96,100.0,0.0
1965,Pakistan,PAK,75.73,6.495,82.225000000000009,92.1,7.9
1965,Peru,PER,47.245,7.762,55.007,85.89,14.11
1965,Poland,POL,773.321,2.732,776.053,99.65,0.35
1965,Romania,ROU,275.749,2.972,278.721,98.93,1.07
1965,Saudi Arabia,SAU,235.14,0.0,235.14,100.0,0.0
1965,Slovakia,SVK,100.263,6.573,106.83600000000001,93.85,6.15
1965,South Africa,ZAF,354.119,0.109,354.228,99.97,0.03
1965,Taiwan,TWN,62.711,7.647,70.358,89.13,10.87
1965,United Kingdom,GBR,2259.641,13.638,2273.279,99.4,0.6
1965,United States,USA,13797.927,630.852,14428.779,95.63,4.37
1965,Venezuela,VEN,187.437,4.048,191.485,97.89,2.11
1966,Algeria,DZA,28.783,1.05,29.833000000000002,96.48,3.52
1966,Argentina,ARG,335.505,3.669,339.174,98.92,1.08
1966,Australia,AUS,423.476,22.626,446.102,94.93,5.07
1966,Austria,AUT,147.077,51.248,198.325,74.16,25.84
1966,Belgium,BEL,396.958,0.884,397.84200000000004,99.78,0.22
1966,Brazil,BRA,216.262,82.518,298.78,72.38,27.62
1966,Bulgaria,BGR,122.622,5.944,128.566,95.38,4.62
1966,Canada,CAN,1090.938,387.366,1478.304,73.8,26.2
1966,Chile,CHL,65.35,12.325,77.675,84.13,15.87
1966,China,CHN,1602.817,66.491,1669.308,96.02,3.98
1966,Colombia,COL,98.285,11.642,109.92699999999999,89.41,10.59
1966,Czechia,CZE,466.064,6.22,472.28400000000005,98.68,1.32
1966,Egypt,EGY,91.066,5.397,96.463000000000008,94.41,5.59
1966,France,FRA,1181.734,155.625,1337.359,88.36,11.64
1966,Germany,DEU,2924.401,51.848,2976.249,98.26,1.74
1966,Hungary,HUN,187.167,0.296,187.463,99.84,0.16
1966,India,IND,579.228,59.186,638.414,90.73,9.27
1966,Indonesia,IDN,76.879,7.018,83.897,91.63,8.37
1966,Iran,IRN,100.574,5.462,106.036,94.85,5.15
1966,Italy,ITA,858.3,139.043,997.343,86.06,13.94
1966,Japan,JPN,1777.571,234.637,2012.2079999999999,88.34,11.66
1966,Luxembourg,LUX,39.827,0.23,40.056999999999995,99.43,0.57
1966,Mexico,MEX,280.664,29.919,310.58299999999997,90.37,9.63
1966,Morocco,MAR,20.268,3.117,23.385,86.67,13.33
1966,Netherlands,NLD,443.377,0.0,443.377,100.0,0.0
1966,Pakistan,PAK,76.346,6.495,82.841000000000008,92.16,7.84
1966,Peru,PER,58.785,8.359,67.143999999999991,87.55,12.45
1966,Poland,POL,788.407,2.771,791.178,99.65,0.35
1966,Romania,ROU,294.209,3.06,297.269,98.97,1.03
1966,Saudi Arabia,SAU,238.322,0.0,238.322,100.0,0.0
1966,Slovakia,SVK,104.285,6.299,110.584,94.3,5.7
1966,South Africa,ZAF,356.323,0.106,356.429,99.97,0.03
1966,Taiwan,TWN,67.508,7.869,75.377,89.56,10.44
1966,United Kingdom,GBR,2256.721,13.413,2270.134,99.41,0.59
1966,United States,USA,14594.848,636.029,15230.877,95.82,4.18
1966,Venezuela,VEN,189.182,4.125,193.307,97.87,2.13
1967,Algeria,DZA,27.035,1.212,28.247,95.71,4.29
1967,Argentina,ARG,345.275,3.757,349.032,98.92,1.08
1967,Australia,AUS,449.677,23.416,473.093,95.05,4.95
1967,Austria,AUT,148.031,52.333,200.364,73.88,26.12
1967,Belgium,BEL,416.684,0.704,417.38800000000003,99.83,0.17
1967,Brazil,BRA,223.268,86.312,309.58,72.12,27.88
1967,Bulgaria,BGR,143.362,5.979,149.341,96.0,4.0
1967,Canada,CAN,1149.846,396.012,1545.858,74.38,25.62
1967,Chile,CHL,66.606,12.582,79.187999999999988,84.11,15.89
1967,China,CHN,1443.752,57.317,1501.069,96.18,3.82
1967,Colombia,COL,102.882,12.979,115.861,88.8,11.2
1967,Czechia,CZE,459.334,5.606,464.94,98.79,1.21
1967,Egypt,EGY,76.769,5.815,82.584,92.96,7.04
1967,France,FRA,1285.172,136.113,1421.285,90.42,9.58
1967,Germany,DEU,2916.715,49.241,2965.956,98.34,1.66
1967,Hungary,HUN,178.65,0.242,178.892,99.86,0.14
1967,India,IND,592.204,66.229,658.433,89.94,10.06
1967,Indonesia,IDN,75.017,7.88,82.896999999999991,90.49,9.51
1967,Iran,IRN,110.771,5.881,116.652,94.96,5.04
1967,Italy,ITA,947.664,135.366,1083.03,87.5,12.5
1967,Japan,JPN,2100.549,202.702,2303.251,91.2,8.8
1967,Luxembourg,LUX,39.192,0.259,39.451,99.34,0.66
1967,Mexico,MEX,283.972,32.577,316.549,89.71,10.29
1967,Morocco,MAR,21.884,2.756,24.64,88.81,11.19
1967,Netherlands,NLD,468.8,0.0,468.8,100.0,0.0
1967,Pakistan,PAK,84.022,7.697,91.719000000000008,91.61,8.39
1967,Peru,PER,59.0,9.368,68.368,86.3,13.7
1967,Poland,POL,811.33,2.97,814.30000000000007,99.64,0.36
1967,Romania,ROU,327.369,4.365,331.73400000000004,98.68,1.32
1967,Saudi Arabia,SAU,241.765,0.0,241.765,100.0,0.0
1967,Slovakia,SVK,105.767,5.397,111.164,95.15,4.85
1967,South Africa,ZAF,371.078,0.077,371.155,99.98,0.02
1967,Taiwan,TWN,74.479,7.789,82.268,90.53,9.47
1967,United Kingdom,GBR,2247.72,14.445,2262.165,99.36,0.64
1967,United States,USA,15038.979,716.695,15755.673999999999,95.45,4.55
1967,Venezuela,VEN,198.978,4.838,203.816,97.63,2.37
1968,Algeria,DZA,28.68,1.665,30.345,94.51,5.49
1968,Argentina,ARG,356.416,4.429,360.84499999999997,98.77,1.23
1968,Australia,AUS,477.284,24.41,501.694,95.13,4.87
1968,Austria,AUT,160.469,53.773,214.242,74.9,25.1
1968,Belgium,BEL,464.522,0.722,465.24399999999997,99.84,0.16
1968,Brazil,BRA,263.15,90.336,353.486,74.44,25.56
1968,Bulgaria,BGR,163.079,3.859,166.93800000000002,97.69,2.31
1968,Canada,CAN,1240.243,402.742,1642.985,75.49,24.51
1968,Chile,CHL,68.317,10.542,78.859,86.63,13.37
1968,China,CHN,1449.068,67.628,1516.696,95.54,4.46
1968,Colombia,COL,105.823,14.463,120.28599999999999,87.98,12.02
1968,Czechia,CZE,480.554,4.339,484.893,99.11,0.89
1968,Egypt,EGY,80.244,8.873,89.117,90.04,9.96
1968,France,FRA,1345.749,152.055,1497.804,89.85,10.15
1968,Germany,DEU,3115.431,49.97,3165.401,98.42,1.58
1968,Hungary,HUN,185.343,0.263,185.606,99.86,0.14
1968,India,IND,627.55,76.435,703.9849999999999,89.14,10.86
1968,Indonesia,IDN,78.69,9.736,88.426,88.99,11.01
1968,Iran,IRN,121.925,6.325,128.25,95.07,4.93
1968,Italy,ITA,1035.889,136.786,1172.675,88.34,11.66
1968,Japan,JPN,2349.549,217.191,2566.74,91.54,8.46
1968,Luxembourg,LUX,42.404,0.265,42.669000000000004,99.38,0.62
1968,Mexico,MEX,307.382,37.382,344.764,89.16,10.84
1968,Morocco,MAR,23.324,3.128,26.452,88.17,11.83
1968,Netherlands,NLD,524.314,0.0,524.314,100.0,0.0
1968,Pakistan,PAK,94.879,9.252,104.131,91.12,8.88
1968,Peru,PER,59.577,10.054,69.631,85.56,14.44
1968,Poland,POL,873.245,3.122,876.367,99.64,0.36
1968,Romania,ROU,348.361,4.619,352.98,98.69,1.31
1968,Saudi Arabia,SAU,245.518,0.0,245.518,100.0,0.0
1968,Slovakia,SVK,117.732,4.953,122.685,95.96,4.04
1968,South Africa,ZAF,391.637,0.071,391.708,99.98,0.02
1968,Switzerland,CHE,132.71,87.277,219.98700000000002,60.33,39.67
1968,Taiwan,TWN,83.082,11.426,94.508,87.91,12.09
1968,United Kingdom,GBR,2326.104,11.006,2337.1099999999997,99.53,0.47
1968,United States,USA,15957.852,724.112,16681.964,95.66,4.34
1968,Venezuela,VEN,211.807,8.126,219.933,96.31,3.69
1969,Algeria,DZA,32.472,1.067,33.539,96.82,3.18
1969,Argentina,ARG,368.939,3.972,372.911,98.93,1.07
1969,Australia,AUS,495.852,26.576,522.428,94.91,5.09
1969,Austria,AUT,172.492,49.435,221.927,77.72,22.28
1969,Belgium,BEL,510.032,0.68,510.712,99.87,0.13
1969,Brazil,BRA,289.142,96.67,385.812,74.94,25.06
1969,Bulgaria,BGR,180.63,5.438,186.06799999999998,97.08,2.92
1969,Canada,CAN,1298.412,445.435,1743.847,74.46,25.54
1969,Chile,CHL,73.097,11.899,84.996,86.0,14.0
1969,China,CHN,1776.409,68.778,1845.1870000000001,96.27,3.73
1969,Colombia,COL,105.702,16.08,121.782,86.8,13.2
1969,Czechia,CZE,501.992,3.541,505.533,99.3,0.7
1969,Egypt,EGY,61.575,11.801,73.376,83.92,16.08
1969,France,FRA,1490.121,159.955,1650.076,90.31,9.69
1969,Germany,DEU,3365.219,40.551,3405.77,98.81,1.19
1969,Hungary,HUN,198.482,0.281,198.763,99.86,0.14
1969,India,IND,693.515,84.864,778.379,89.1,10.9
1969,Indonesia,IDN,89.606,10.18,99.786,89.8,10.2
1969,Iran,IRN,133.947,6.808,140.755,95.16,4.84
1969,Italy,ITA,1132.354,132.915,1265.269,89.5,10.5
1969,Japan,JPN,2701.243,222.809,2924.052,92.38,7.62
1969,Luxembourg,LUX,45.689,0.231,45.92,99.5,0.5
1969,Mexico,MEX,338.786,39.641,378.427,89.52,10.48
1969,Morocco,MAR,24.964,4.045,29.009,86.06,13.94
1969,Netherlands,NLD,583.893,0.0,583.893,100.0,0.0
1969,Pakistan,PAK,94.87,9.762,104.632,90.67,9.33
1969,Peru,PER,59.197,10.944,70.141,84.4,15.6
1969,Poland,POL,933.403,2.663,936.066,99.72,0.28
1969,Romania,ROU,399.256,6.556,405.81199999999995,98.38,1.62
